Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 800.0 and 3,000.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

|               ns/op |                op/s |    err% |          ins/op |          cyc/op |    IPC |         bra/op |   miss% |     total | simphotons choices
|            1,819.20 |          549,692.07 |    0.1% |        6,026.00 |        3,808.00 |  1.582 |       2,004.00 |    0.2% |     21.72 | `scan_hashmap_1000`
|            1,028.24 |          972,537.59 |    0.5% |        6,025.00 |        2,153.40 |  2.798 |       2,004.00 |    0.1% |     12.31 | `scan_aosv_1000`
|            1,564.27 |          639,275.66 |    0.1% |        8,102.00 |        3,274.09 |  2.475 |       3,019.00 |    0.8% |     18.73 | `scan_aosd_1000`
|            1,461.11 |          684,412.52 |    0.2% |        6,024.00 |        3,057.46 |  1.970 |       2,004.00 |    0.1% |     17.46 | `scan_aosl_1000`
|            1,257.49 |          795,237.41 |    0.3% |        6,028.00 |        2,631.45 |  2.291 |       2,004.00 |    0.2% |     15.01 | `scan_soav_1000`
|            1,257.29 |          795,362.99 |    0.4% |        6,028.00 |        2,631.28 |  2.291 |       2,004.00 |    0.2% |     15.07 | `scan_soad_1000`
|            1,260.29 |          793,465.40 |    0.4% |        6,028.00 |        2,637.35 |  2.286 |       2,004.00 |    0.2% |     15.06 | `scan_soal_1000`
|            1,573.16 |          635,661.60 |    0.1% |        6,680.00 |        3,292.33 |  2.029 |       2,472.00 |    0.9% |     62.89 | `scan_map_300`
|              427.10 |        2,341,361.70 |    0.2% |        1,818.00 |          894.17 |  2.033 |         604.00 |    0.3% |     17.00 | `scan_hashmap_300`
|              323.09 |        3,095,104.53 |    0.3% |        1,825.00 |          676.33 |  2.698 |         604.00 |    0.3% |     12.86 | `scan_aosv_300`
|              462.81 |        2,160,694.17 |    0.2% |        2,447.00 |          968.82 |  2.526 |         908.00 |    0.8% |     18.49 | `scan_aosd_300`
|              428.93 |        2,331,371.61 |    0.1% |        1,824.00 |          897.79 |  2.032 |         604.00 |    0.3% |     17.08 | `scan_aosl_300`
|              390.65 |        2,559,804.74 |    0.3% |        1,828.00 |          817.58 |  2.236 |         604.00 |    0.5% |     15.56 | `scan_soav_300`
